external_field,internal_field,mapping_logic,required
uuId,alert_id,唯一标识映射,True
lastTime,occurred_at,Unix时间戳转UTC,True
name,alert_name,告警名称透传,True
severity,raw_severity,数值>=70映射为high,True
hostIp,destination_ip,优先映射为目的资产,False
dstIp,destination_ip,列表首项作为目的资产备份,False
srcIp,source_ip,列表首项作为源IP,False
srcPort,source_port,列表首项作为源端口,False
dstPort,destination_port,列表首项作为目的端口,False
devSourceName,source_device_name,列表首项作为来源设备,False
gptResultDescription,scenario_fields.gpt_desc,研判结论透传,False
confidence,scenario_fields.confidence,置信度透传,False
attackStage,scenario_fields.attack_stage,攻击阶段透传,False
attckTechnique,scenario_fields.attck_technique,ATT&CK技术透传,False
traceBackId,scenario_fields.traceback_ids,追溯ID透传,False
